Date,Channel,MKTer,Chiến dịch,Chi phí Marketing,Impression,Reach,Click,Share,Cmt,Inbox,Lead MKT,Đơn hàng,Doanh thu,Paid Revenue 1,Giá Lead,Đơn/Lead,CPM,CPC,"Giá Mess
(Cmt + Inbox)"
2020-07-17,Google,TienTran,PerMax,230948,7885,0,60,0,0,0,2,2,998000.0,998000,115474.0,1,29289.537095751428,3849.133333333333,0.0
2020-07-17,Google,TienTran,Guu-Search,50031,357,0,16,0,0,0,0,0,0.0,0,0.0,0,140142.85714285713,3126.9375,0.0
2020-07-17,Google,TienTran,Guu-Discovery,68334,5645,0,199,0,0,0,1,1,499000.0,499000,68334.0,1,12105.225863596102,343.38693467336685,0.0
2020-07-17,Google,TienTran,Guu-PerMax,260441,8205,0,123,0,0,0,0,0,0.0,0,0.0,0,31741.74283973187,2117.4065040650407,0.0
2020-07-17,Google,DucVu,Brand,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-18,FB,DucVu,CVS,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-18,FB,DucVu,Mess,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-18,FB,DucVu,Brand,553487,155501,104037,244,0,0,0,0,0,0.0,0,0.0,0,3559.3790393630907,2268.389344262296,0.0
2020-07-18,FB,NgocNgo,CVS,228734,2678,2463,9,0,3,0,25,15,7441608.695652174,5988000,9149.36,1,85412.24794622853,25414.88888888889,76244.66666666667
2020-07-18,FB,NgocNgo,Brand,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-18,FB,GiangPhan,CVS,2585748,35167,31695,235,8,13,0,12,9,3948608.695652174,2495000,215479.0,1,73527.68220206445,11003.182978723404,198903.6923076923
2020-07-18,FB,AnhNguyen08,CVS,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-18,FB,TungTran,CVS,334409,4484,4105,10,0,2,0,0,0,0.0,0,0.0,0,74578.27832292595,33440.9,167204.5
2020-07-18,FB,AnhTrinh,CVS,350561,5345,4449,14,1,2,0,1,1,499000.0,499000,350561.0,1,65586.71655753041,25040.071428571428,175280.5
2020-07-18,FB,YenNguyen02,CVS,0,50339,44731,187,4,13,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-18,FB,ThuHoang,CVS,253489,4097,3733,19,0,1,0,0,0,0.0,0,0.0,0,61871.857456675614,13341.526315789471,253489.0
2020-07-18,Google,TienTran,Search,355002,5483,0,166,0,0,0,0,0,0.0,0,0.0,0,64745.94200255335,2138.5662650602408,0.0
2020-07-18,Google,TienTran,Discovery,390731,23527,0,999,0,0,0,1,1,499000.0,499000,390731.0,1,16607.769796404133,391.1221221221221,0.0
2020-07-18,Google,TienTran,PerMax,147569,7179,0,60,0,0,0,1,1,499000.0,499000,147569.0,1,20555.648418999863,2459.483333333333,0.0
2020-07-18,Google,TienTran,Guu-Search,58491,410,0,17,0,0,0,0,0,0.0,0,0.0,0,142660.9756097561,3440.6470588235293,0.0
2020-07-18,Google,TienTran,Guu-Discovery,114432,6500,0,266,0,0,0,0,0,0.0,0,0.0,0,17604.923076923074,430.1954887218045,0.0
2020-07-18,Google,TienTran,Guu-PerMax,146879,7010,0,56,0,0,0,1,1,499000.0,499000,146879.0,1,20952.781740370898,2622.839285714286,0.0
2020-07-18,Google,DucVu,Brand,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-19,FB,DucVu,CVS,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-19,FB,DucVu,Mess,0,0,0,0,0,0,0,1,1,499000.0,499000,0.0,1,0.0,0.0,0.0
2020-07-19,FB,DucVu,Brand,694757,182157,117195,229,0,0,0,0,0,0.0,0,0.0,0,3814.0560066316416,3033.873362445415,0.0
2020-07-19,FB,NgocNgo,CVS,287679,6110,5646,14,0,3,0,40,24,12256000.0,10978000,7191.975,1,47083.30605564648,20548.5,95893.0
2020-07-19,FB,NgocNgo,Brand,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-19,FB,GiangPhan,CVS,2412918,31765,28520,206,10,17,0,19,16,7918913.043478261,6487000,126995.68421052632,1,75961.52998583346,11713.194174757282,141936.35294117648
2020-07-19,FB,AnhNguyen08,CVS,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-19,FB,TungTran,CVS,504089,8672,8010,16,6,0,0,6,5,2495000.0,1996000,84014.83333333333,1,58128.34409594096,31505.5625,0.0
2020-07-19,FB,AnhTrinh,CVS,281764,3288,2937,7,0,1,0,2,2,998000.0,998000,140882.0,1,85694.64720194647,40252.0,281764.0
2020-07-19,FB,YenNguyen02,CVS,0,67802,59521,211,7,23,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-19,FB,ThuHoang,CVS,440225,5960,5121,53,0,1,0,3,3,1497000.0,1497000,146741.66666666666,1,73863.25503355706,8306.132075471698,440225.0
2020-07-19,Google,TienTran,Search,396885,5416,0,162,0,0,0,3,3,1475304.347826087,998000,132295.0,1,73280.09601181684,2449.9074074074074,0.0
2020-07-19,Google,TienTran,Discovery,395116,23546,0,988,0,0,0,1,1,477304.347826087,0,395116.0,1,16780.599677227558,399.914979757085,0.0
